,0
group_16122,0.0
group_16123,0.0
group_16124,0.0
group_16125,0.0
group_16126,0.0
group_16127,0.0
group_16128,0.0
group_1615,0.0
group_16150,0.0
group_16151,0.0
group_1618,0.0
group_16172,0.0
group_16173,0.0
group_16174,0.0
group_16175,0.0
group_16176,0.0
group_16177,0.0
group_16178,0.0
group_16179,0.0
group_16180,0.0
group_16152,0.0
group_16181,0.0
group_16182,0.0
group_16183,0.0
group_16184,0.0
group_16185,0.0
group_16186,0.0
group_16187,0.0
group_16188,0.0
group_16171,0.0
group_16170,0.0
group_1617,0.0
group_16169,0.0
group_16153,0.0
group_16154,0.0
group_16155,0.0
group_16156,0.0
group_16157,0.0
group_16158,0.0
group_16159,0.0
group_1616,0.0
group_16160,0.0
group_16161,0.0
group_16162,0.0
group_16163,0.0
group_16164,0.0
group_16165,0.0
group_16166,0.0
group_16167,0.0
group_16168,0.0
group_16595,0.0
group_16597,0.0
group_15934,0.0
group_16941,0.0
group_17047,0.0
group_17048,0.0
group_17049,0.0
group_1705,0.0
group_17050,0.0
group_17051,0.0
group_17052,0.0
group_17053,0.0
group_17054,0.0
group_17055,0.0
group_17056,0.0
group_17057,0.0
group_17058,0.0
group_17059,0.0
group_1706,0.0
group_17060,0.0
group_17061,0.0
group_17062,0.0
group_17063,0.0
group_17046,0.0
group_17045,0.0
group_17044,0.0
group_17034,0.0
group_17027,0.0
group_17028,0.0
group_17029,0.0
group_1703,0.0
group_17030,0.0
group_17031,0.0
group_17032,0.0
group_17033,0.0
group_17035,0.0
group_17043,0.0
group_17036,0.0
group_17037,0.0
group_17038,0.0
group_17039,0.0
group_1704,0.0
group_17040,0.0
group_17041,0.0
group_17042,0.0
group_17064,0.0
group_17065,0.0
group_17066,0.0
group_17097,0.0
group_17089,0.0
group_17090,0.0
group_17091,0.0
group_17092,0.0
group_17093,0.0
group_17094,0.0
group_17095,0.0
group_17096,0.0
group_17098,0.0
group_17087,0.0
group_17099,0.0
group_171,0.0
group_1710,0.0
group_17100,0.0
group_17101,0.0
group_17102,0.0
group_17103,0.0
group_17104,0.0
group_17088,0.0
group_17086,0.0
group_17067,0.0
group_17075,0.0
group_17068,0.0
group_17069,0.0
group_1707,0.0
group_17070,0.0
group_17071,0.0
group_17072,0.0
group_17073,0.0
group_17074,0.0
group_17076,0.0
group_17085,0.0
group_17077,0.0
group_17078,0.0
group_17079,0.0
group_17080,0.0
group_17081,0.0
group_17082,0.0
group_17083,0.0
group_17084,0.0
group_17026,0.0
group_17025,0.0
group_17024,0.0
group_16971,0.0
group_16963,0.0
group_16964,0.0
group_16965,0.0
group_16966,0.0
group_16967,0.0
group_16968,0.0
group_16969,0.0
group_1697,0.0
group_16973,0.0
group_16961,0.0
group_16975,0.0
group_16976,0.0
group_16977,0.0
group_16978,0.0
group_16979,0.0
group_1698,0.0
group_16980,0.0
group_16981,0.0
group_16962,0.0
group_16960,0.0
group_16984,0.0
group_16950,0.0
group_16943,0.0
group_16944,0.0
group_16945,0.0
group_16946,0.0
group_16947,0.0
group_16948,0.0
group_16949,0.0
group_1695,0.0
group_16951,0.0
group_1696,0.0
group_16952,0.0
group_16953,0.0
group_16954,0.0
group_16955,0.0
group_16956,0.0
group_16957,0.0
group_16958,0.0
group_16959,0.0
group_16982,0.0
group_16985,0.0
group_17023,0.0
group_17013,0.0
group_17006,0.0
group_17007,0.0
group_17008,0.0
group_17009,0.0
group_1701,0.0
group_17010,0.0
group_17011,0.0
group_17012,0.0
group_17014,0.0
group_17004,0.0
group_17016,0.0
group_17017,0.0
group_17018,0.0
group_17019,0.0
group_1702,0.0
group_17020,0.0
group_17021,0.0
group_17022,0.0
group_17005,0.0
group_17003,0.0
group_16986,0.0
group_16994,0.0
group_16987,0.0
group_16988,0.0
group_16989,0.0
group_1699,0.0
group_16990,0.0
group_16991,0.0
group_16992,0.0
group_16993,0.0
group_16995,0.0
group_17002,0.0
group_16996,0.0
group_16997,0.0
group_16998,0.0
group_16999,0.0
group_17,0.0
group_1700,0.0
group_17000,0.0
group_17001,0.0
group_17105,0.0
group_17106,0.0
group_17107,0.0
group_17218,0.0
group_17210,0.0
group_17211,0.0
group_17212,0.0
group_17213,0.0
group_17214,0.0
group_17215,0.0
group_17216,0.0
group_17217,0.0
group_17219,0.0
group_17209,0.0
group_1722,0.0
group_17220,0.0
group_17221,0.0
group_17222,0.0
group_17223,0.0
group_17224,0.0
group_17225,0.0
group_17226,0.0
group_1721,0.0
group_17208,0.0
group_17228,0.0
group_17199,0.0
group_17191,0.0
group_17192,0.0
group_17193,0.0
group_17194,0.0
group_17195,0.0
group_17196,0.0
group_17197,0.0
group_17198,0.0
group_172,0.0
group_17207,0.0
group_1720,0.0
group_17200,0.0
group_17201,0.0
group_17202,0.0
group_17203,0.0
group_17204,0.0
group_17205,0.0
group_17206,0.0
group_17227,0.0
group_17229,0.0
group_17189,0.0
group_17261,0.0
group_17253,0.0
group_17254,0.0
group_17255,0.0
group_17256,0.0
group_17258,0.0
group_17259,0.0
group_1726,0.0
group_17260,0.0
group_17262,0.0
group_17251,0.0
group_17263,0.0
group_17264,0.0
group_17266,0.0
group_17267,0.0
group_17268,0.0
group_17269,0.0
group_1727,0.0
group_17270,0.0
group_17252,0.0
group_17250,0.0
group_1723,0.0
group_1724,0.0
group_17230,0.0
group_17231,0.0
group_17232,0.0
group_17233,0.0
group_17236,0.0
group_17237,0.0
group_17238,0.0
group_17239,0.0
group_17240,0.0
group_17249,0.0
group_17241,0.0
group_17242,0.0
group_17243,0.0
group_17244,0.0
group_17245,0.0
group_17246,0.0
group_17247,0.0
group_17248,0.0
group_17190,0.0
group_17188,0.0
group_17108,0.0
group_17136,0.0
group_17129,0.0
group_1713,0.0
group_17130,0.0
group_17131,0.0
group_17132,0.0
group_17133,0.0
group_17134,0.0
group_17135,0.0
group_17137,0.0
group_17127,0.0
group_17138,0.0
group_17139,0.0
group_1714,0.0
group_17140,0.0
group_17141,0.0
group_17142,0.0
group_17143,0.0
group_17144,0.0
group_17128,0.0
group_17126,0.0
group_17146,0.0
group_17116,0.0
group_17109,0.0
group_1711,0.0
group_17110,0.0
group_17111,0.0
group_17112,0.0
group_17113,0.0
group_17114,0.0
group_17115,0.0
group_17117,0.0
group_17125,0.0
group_17118,0.0
group_17119,0.0
group_1712,0.0
group_17120,0.0
group_17121,0.0
group_17122,0.0
group_17123,0.0
group_17124,0.0
group_17145,0.0
group_17147,0.0
group_17187,0.0
group_17178,0.0
group_1717,0.0
group_17170,0.0
group_17171,0.0
group_17172,0.0
group_17173,0.0
group_17174,0.0
group_17176,0.0
group_17177,0.0
