,0
group_3883,0.0010332734247269653
group_8572,0.0009103549620931364
group_6902,0.0005773894145925385
gstB_1,0.0005063120198343865
group_1203,0.0004909577720580768
ppc,0.00045763967549340695
tufB_1,0.0004557371290529925
group_10439,0.00044908926213582955
group_8379,0.0004374362172472135
exbD_1,0.0004083277860234917
group_3565,0.0003997385101748639
group_3779,0.00039134922337957724
group_1570,0.00037202964412422104
group_7406,0.0003615169581751068
group_2636,0.0003608964924984031
pilE,0.0003557375853481819
group_3673,0.0003483367979838831
group_10673,0.00034817678903892893
group_414,0.00034427012906925407
group_3882,0.0003429280065952015
nhaP,0.00033800054244893254
group_6961,0.0003311176356586877
group_6962,0.00032872567683300754
group_10438,0.00032301188997822876
gltS,0.0003226130289588076
group_2018,0.0003225373884588809
group_2009,0.0003089685671430023
group_8609,0.00030883352410609045
group_869,0.0003052528063906903
group_1267,0.0002973005954083771
group_10488,0.00029020920330597973
group_118,0.00027824936500069915
pilV,0.000276448911621755
group_1437,0.0002690321873307362
pgaB_1,0.0002551414260165945
group_12221,0.0002539334607599637
ilvD,0.0002476053978466965
group_4936,0.00024482640660930495
group_6901,0.0002442637553645253
group_2637,0.00024336421034911815
narB,0.000242159161076355
tpm,0.00023597107613836435
xanP,0.00023135536598943197
mdtB,0.00022680394361391143
group_12176,0.00022124494875155141
group_1221,0.00021854645217631152
group_2652,0.00021651119408343757
comM_2,0.0002102304867016462
group_4941,0.00021014680818690935
soxR,0.00020919812885493745
group_781,0.00020680475846048593
group_5116,0.00019841439415343507
group_4811,0.00019694828187894628
group_5536,0.0001932198102876689
group_1740,0.00019314469775275002
group_1330,0.0001920296527561018
group_22242,0.00019188200568467483
group_2273,0.00018945581703528984
group_2282,0.0001851361892888879
group_875,0.00018414188017506017
group_1568,0.000181878805548066
group_1192,0.00017594930985345732
group_8783,0.0001754183246179855
group_3199,0.0001720558211803434
group_2946,0.0001718685119207836
group_14659,0.0001713905769792669
yahB,0.00016779877511539153
group_7591,0.00016498193705732794
group_3056,0.00016351421595249007
group_4471,0.00016303287035552197
galU,0.000162423626580733
group_4544,0.0001603281991835883
group_10563,0.0001566154943897542
pgaD_2,0.00015569697347458177
ftsH_2,0.0001549522204078758
group_11814,0.00015361368677051175
group_2241,0.00015057634063106307
group_10875,0.00014913940675984996
group_4312,0.00014880589621581327
prsE,0.00014784403993930116
group_5474,0.00014419005911533813
group_5351,0.00014356121814726702
ettA,0.0001414677248504723
clsC,0.00014079349149579088
alkJ,0.00014025197686782555
group_1973,0.00013984353657183182
group_7631,0.00013973779917219695
group_22434,0.00013882064399106976
group_868,0.0001373437454107008
group_2008,0.00013625545912734655
lpxH,0.00013611415784507165
xerC_2,0.00013477477302454444
group_397,0.00013464965081778414
group_4600,0.00013453241655569213
group_9873,0.00013366361299580604
group_599,0.00013355699906653833
insK,0.00013263944478936218
group_2787,0.0001321510266225173
group_608,0.00013195035706421794
group_4828,0.00012971077281113033
group_7171,0.00012947198301358756
group_4128,0.00012859305759705466
group_3974,0.00012793390117933528
group_7935,0.00012742028155992048
group_4862,0.0001256377645201234
group_679,0.00012387306264485308
group_4889,0.00012340733101060103
group_4046,0.00012273723998066418
group_2408,0.00012222194132881461
rsuA,0.00012112337640814634
group_10401,0.00012099046157136989
mexB_1,0.00011870273539800874
group_188,0.000118283346616167
linX,0.00011765204181070375
rtcB_1,0.00011723841495245506
group_11171,0.0001169744616502833
group_4771,0.0001162633360724275
hmp_2,0.00011611227716367522
tdh_1,0.00011486983302821469
group_6704,0.00011332428930922755
group_11487,0.00011296176943230864
group_5392,0.00011091302928250764
group_3293,0.00011069371854371761
group_9502,0.00011012458378187701
cynR,0.0001099580317175503
group_10564,0.00010977151942530576
group_7032,0.00010938318885776194
nadX,0.00010865266149133019
group_6075,0.00010834163937948054
group_3306,0.00010831490008158833
group_12002,0.00010727328096147471
group_6544,0.00010454372294034223
group_4957,0.00010374832730910922
group_6320,0.0001024660237964015
group_6080,0.00010237257499490624
group_3799,0.00010230315383451586
group_8509,0.00010218921539731845
rfbA,0.00010165673376088056
ybaK,0.00010095199687762647
group_5343,0.0001009506432265806
group_7192,9.946383215161676e-05
