,0
group_708,0.000648419539605167
group_10401,0.0006203034027850027
group_8355,0.0004906475854974795
group_2637,0.00048235015573042816
group_2636,0.000478230687349736
rutD,0.00046366843047796033
group_4802,0.0004630814534673123
group_5828,0.00046286125504300485
group_4364,0.00044950493501357745
group_5243,0.0004364706891587719
group_7291,0.0004192467959145223
nadE,0.00039781244452191
group_2559,0.0003881299565639952
group_10439,0.0003854000574556639
pilE,0.0003692344750994677
gstB_1,0.00036726029279279663
group_1437,0.0003658793195754682
group_1203,0.0003648220684815755
ilvB,0.00035515204935586295
group_10471,0.00035111713241249364
group_2767,0.0003420278563397427
csy2,0.00034196727416573725
group_8690,0.0003418502720915669
group_8379,0.0003254723945053028
group_6902,0.0003172210082039759
group_4889,0.0003157020076894612
group_5425,0.00031461845597867297
pilV,0.00031337773864844996
group_1969,0.0003120184398063463
group_6093,0.0003115478665400917
group_5079,0.00030892387776220543
group_10402,0.0003037420922532422
group_10875,0.0003012496607848617
group_10438,0.000294489095501437
group_10490,0.00028988530579658714
group_5890,0.00028642926904106817
group_4312,0.00027965613176299774
group_2233,0.00027823863230343047
group_868,0.0002776223255952781
uvrA,0.0002760329490513456
nimR_1,0.0002734290742217327
group_249,0.00027336775965856544
group_6941,0.0002662134792453871
group_8433,0.0002616449746376028
group_10376,0.00025994558612750025
group_2550,0.00025715162963450616
group_548,0.00025713589029133726
lspA_2,0.00025688725899563415
xanP,0.0002564751429667011
group_5495,0.00025492160768045394
group_3170,0.0002540831119403047
group_14759,0.00024977276215903043
group_5121,0.0002487471142900888
group_7338,0.0002471312896460735
group_10377,0.0002459052431818731
pstS,0.00024585041212115566
group_3669,0.0002447613769861313
group_3061,0.000243498924778428
group_5080,0.00023791227004858157
pta,0.00023601820154474604
oprB,0.00023573767679520354
tufB_2,0.00023336938305811461
group_2779,0.00023014559056890385
group_579,0.0002295204470596562
group_1707,0.00022915647231193481
comM_1,0.0002253188333846608
merR1_2,0.0002238320525641387
group_10491,0.00022362805418534634
group_1186,0.0002206363936928564
group_2605,0.00021945199592782413
group_3199,0.0002174952389250711
csy3,0.00021722019416245395
group_22288,0.00021537182254927414
group_2783,0.00021492876526330086
group_14659,0.00021336507819857473
group_9606,0.00021138119369974238
group_6113,0.00020869773082051422
group_5139,0.00020589570870285732
group_10436,0.00020562909611855033
group_3461,0.00020531005311044117
group_576,0.00020525971320163846
group_10772,0.000201237723898163
group_3903,0.00019947404915752307
group_2569,0.00019737575080224206
group_4321,0.00019731538041197565
cas6f,0.00019656703365863583
kdpA_1,0.00019643971185193758
group_7337,0.00019604119382496984
